sequence,sigma_c,best_normalization,scaling_cv,length,type
Fibonacci_s1,169126.77723539015,range,0.3658598719794288,30,Fibonacci
Fibonacci_s2,282568.84428614937,range,0.4084299706418439,30,Fibonacci
Fibonacci_s3,292039.7970291836,range,0.38087308878742826,30,Fibonacci
Fibonacci_s4,418357.3989525857,range,0.36100840891972164,30,Fibonacci
Fibonacci_s5,616152.1295783577,range,0.35028066784324785,30,Fibonacci
Fibonacci_s6,519881.5463206574,range,0.4520613700866094,30,Fibonacci
Fibonacci_s7,857922.111494373,range,0.36778394574752615,30,Fibonacci
Fibonacci_s8,857498.1119009539,range,0.3532063919704074,30,Fibonacci
Fibonacci_s9,871252.546725354,range,0.3956901678801219,30,Fibonacci
Fibonacci_s10,1350217.043376046,range,0.35748851414501004,30,Fibonacci
Collatz_27,680.4218851059396,range,0.28885709756036787,111,Collatz
Collatz_31,1152.2566560265677,range,0.3447681465652947,106,Collatz
Collatz_47,1601.0951975423347,range,0.29042553330545456,104,Collatz
Collatz_63,762.9077558682175,range,0.2543594892009351,107,Collatz
Collatz_71,1013.1449055546869,range,0.3216024080035639,102,Collatz
Collatz_97,1530.7375394262515,range,0.342459556951738,118,Collatz
Collatz_111,1405.306581801967,range,0.33202126210282373,69,Collatz
Collatz_127,618.4273692164016,range,0.3394297022459051,46,Collatz
Collatz_159,1182.578180002232,range,0.36656267775470647,54,Collatz
Collatz_191,737.9239818480071,range,0.2522841104380308,44,Collatz
Collatz_223,1297.3582547571398,range,0.3957252117608395,70,Collatz
Collatz_255,1716.161795994952,range,0.3272478568838501,47,Collatz
Collatz_319,1303.2617694828189,range,0.2736207782740233,55,Collatz
Collatz_383,1835.4482072337723,range,0.2953119748680407,45,Collatz
Collatz_447,4058.0958038923636,range,0.2838209163919142,97,Collatz
Collatz_511,4102.6287114537945,range,0.30298021006176373,61,Collatz
Collatz_639,5887.86146231225,range,0.24387233618625745,131,Collatz
Collatz_767,6013.538104300258,range,0.36463154526037334,59,Collatz
Collatz_895,1801.4878576759688,range,0.35607194190907526,98,Collatz
Collatz_1023,20590.541141680034,range,0.4141713339706876,62,Collatz
Primes_skip1,28.77906248826677,range,0.5327524251425758,30,Primes
